=== Command: top -b -n1

top - 01:56:26 up  6:58,  3 users,  load average: 0.00, 0.05, 0.14
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.2 sy,  0.0 ni, 97.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15869.9 total,   4585.8 free,   3581.9 used,   8072.4 buff/cache     
MiB Swap:   4096.0 total,   4095.2 free,      0.8 used.  12288.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1253 caddy     20   0 2080256  38336  29056 S   0.0   0.2   0:03.43 caddy
   1254 root      20   0 3377332  87052  56448 S   0.0   0.5   1:15.33 dockerd
   1257 root      20   0    6824   2688   2560 S   0.0   0.0   0:00.12 cron
   1268 root      20   0   12020   7936   6912 S   0.0   0.0   0:00.02 sshd
   1272 root      20   0    6104   1920   1792 S   0.0   0.0   0:00.01 agetty
   1288 root      20   0   78080  18048  15488 S   0.0   0.1   0:01.42 nmbd
   1300 root      20   0   90300  26112  22912 S   0.0   0.2   0:00.15 smbd
   1307 root      20   0   87808   6620   3456 S   0.0   0.0   0:00.04 smbd-no+
   1308 root      20   0   87816   6236   3072 S   0.0   0.0   0:00.04 smbd-cl+
   1995 root      20   0 1239148  15788  11392 S   0.0   0.1   0:11.00 contain+
   1998 root      20   0 1239148  16104  11520 S   0.0   0.1   0:11.19 contain+
   2005 root      20   0 1238892  15468  11520 S   0.0   0.1   0:06.31 contain+
   2011 root      20   0 1238892  15460  11520 S   0.0   0.1   0:04.86 contain+
   2020 root      20   0 1238892  15420  11520 S   0.0   0.1   0:04.89 contain+
   2023 root      20   0 1238892  15500  11520 S   0.0   0.1   0:04.90 contain+
   2028 root      20   0 1239148  16124  11520 S   0.0   0.1   0:08.48 contain+
   2029 root      20   0 1238892  15352  11520 S   0.0   0.1   0:05.48 contain+
   2188 root      20   0    2144    896    896 S   0.0   0.0   0:00.04 dumb-in+
   2189 root      20   0     436      0      0 S   0.0   0.0   0:00.06 s6-svsc+
   2190 root      20   0 2005008  33116  23040 S   0.0   0.2   0:03.77 ollama
   2202 root      20   0 3123252 746252 214784 S   0.0   4.6   1:38.17 python3
   2215 caddy     20   0 1677348 239376  24704 S   0.0   1.5   2:07.43 mariadbd
   2217 root      20   0 1319844  73180  56960 S   0.0   0.5   0:10.28 portain+
   2218 root      20   0  715276  13952  10368 S   0.0   0.1   0:00.11 watchto+
